"OBJECTID","Reference","Sampling_Date","Gear","ExDate","Bluefish","Common.Snook","Mullets","Pinfish","Red.Drum","Sand.Seatrout"
1550020,"TBM1996032006","1996-03-19 19:00:00",300,"2018-04-12 06:27:38",0,0,0,0,0,1
1550749,"TBM1996032004","1996-03-19 19:00:00",22,"2018-04-12 06:25:23",0,0,0,54,0,0
1550750,"TBM1996032004","1996-03-19 19:00:00",22,"2018-04-12 06:25:23",0,0,0,0,1,0
1550762,"TBM1996032207","1996-03-21 19:00:00",20,"2018-04-12 06:25:23",0,0,0,80,0,0
1550828,"TBM1996042601","1996-04-25 20:00:00",160,"2018-04-12 06:25:23",0,0,0,0,4,0
1550838,"TBM1996051312","1996-05-12 20:00:00",300,"2018-04-12 06:25:23",0,0,0,0,0,1
1550842,"TBM1996051407","1996-05-13 20:00:00",300,"2018-04-12 06:25:23",0,0,0,0,0,5
1551131,"TBM1996051415","1996-05-13 20:00:00",300,"2018-04-12 06:27:38",0,0,0,0,0,66
1551311,"TBM1996032209","1996-03-21 19:00:00",300,"2018-04-12 06:25:20",0,0,0,1,0,0
1551335,"TBM1996041807","1996-04-17 20:00:00",22,"2018-04-12 06:25:24",0,0,0,1,0,0
1551363,"TBM1996042602","1996-04-25 20:00:00",160,"2018-04-12 06:25:24",0,0,0,0,2,0
1555103,"TBM1996022010","1996-02-19 19:00:00",22,"2018-04-12 06:25:29",0,0,0,50,0,0
1555259,"TBM1996022104","1996-02-20 19:00:00",20,"2018-04-12 06:25:31",0,0,0,29,0,0
1556039,"TBM1996051405","1996-05-13 20:00:00",300,"2018-04-12 06:25:30",0,0,0,0,0,74
1556144,"TBM1996061304","1996-06-12 20:00:00",160,"2018-04-12 06:25:30",0,0,0,12,0,0
1556177,"TBM1996042602","1996-04-25 20:00:00",160,"2018-04-12 06:25:31",0,1,0,0,0,0
1556178,"TBM1996042603","1996-04-25 20:00:00",160,"2018-04-12 06:25:31",0,0,0,0,10,0
1556196,"TBM1996051415","1996-05-13 20:00:00",300,"2018-04-12 06:25:31",0,0,0,7,0,0
1572931,"TBM1996080603","1996-08-05 20:00:00",160,"2018-04-12 06:25:36",0,0,0,46,0,0
1572932,"TBM1996080604","1996-08-05 20:00:00",160,"2018-04-12 06:25:36",0,0,0,163,0,0
1573028,"TBM1996061402","1996-06-13 20:00:00",160,"2018-04-12 06:25:27",0,1,0,0,0,0
1573079,"TBM1996062104","1996-06-20 20:00:00",20,"2018-04-12 06:26:15",0,0,0,54,0,0
1573232,"TBM1996062001","1996-06-19 20:00:00",22,"2018-04-12 06:25:31",0,0,0,4,0,0
1574017,"TBM1996071110","1996-07-10 20:00:00",160,"2018-04-12 06:26:11",0,0,0,137,0,0
1574153,"TBM1996081408","1996-08-13 20:00:00",300,"2018-04-12 06:26:11",0,0,0,0,0,22
1574634,"TBM1996081515","1996-08-14 20:00:00",22,"2018-04-12 06:26:18",0,0,0,5,0,0
1574718,"TBM1996091709","1996-09-16 20:00:00",300,"2018-04-12 06:26:18",0,0,0,0,0,7
1576651,"TBM1996022007","1996-02-19 19:00:00",20,"2018-04-12 06:25:24",0,0,0,2,0,0
1576652,"TBM1996022010","1996-02-19 19:00:00",22,"2018-04-12 06:25:24",0,0,0,0,1,0
1576653,"TBM1996022014","1996-02-19 19:00:00",300,"2018-04-12 06:25:24",0,0,0,5,0,0
1577278,"TBM1996061301","1996-06-12 20:00:00",160,"2018-04-12 06:25:26",0,0,0,11,0,0
1581402,"TBM2003101710","2003-10-09 20:00:00",300,"2018-04-12 06:22:28",0,0,0,0,0,15
1581494,"TBM2003111010","2003-11-06 19:00:00",300,"2018-04-12 06:22:28",0,0,0,0,0,2
1581495,"TBM2003111013","2003-11-06 19:00:00",300,"2018-04-12 06:22:28",0,0,0,0,0,64
1581503,"TBM2003111305","2003-11-11 19:00:00",160,"2018-04-12 06:22:28",0,3,0,0,0,0
1581805,"TBM2003120204","2003-11-30 19:00:00",160,"2018-04-12 06:22:28",0,0,0,0,1,0
1581822,"TBM2003120611","2003-12-01 19:00:00",300,"2018-04-12 06:22:28",0,0,0,0,0,4
1582283,"TBM2003111713","2003-11-20 19:00:00",300,"2018-04-12 06:21:14",0,0,0,0,0,5
1584465,"TBM1996061917","1996-06-18 20:00:00",20,"2018-04-12 06:26:04",0,0,0,19,0,0
1584504,"TBM1996071105","1996-07-10 20:00:00",160,"2018-04-12 06:26:04",0,0,0,1,0,0
1584803,"TBM1996011905","1996-01-18 19:00:00",20,"2018-04-12 06:25:26",0,0,0,0,1,0
1585031,"TBM1996081407","1996-08-13 20:00:00",300,"2018-04-12 06:26:09",0,0,0,0,0,51
1585132,"TBM1996091705","1996-09-16 20:00:00",20,"2018-04-12 06:26:11",0,0,0,0,1,0
1586261,"TBM1996051508","1996-05-14 20:00:00",160,"2018-04-12 06:25:27",0,0,0,0,2,0
1588612,"TBM1996022008","1996-02-19 19:00:00",300,"2018-04-12 06:25:15",0,0,0,0,0,1
1589487,"TBM1996032101","1996-03-20 19:00:00",20,"2018-04-12 06:25:27",0,0,0,0,1,0
1589488,"TBM1996032205","1996-03-21 19:00:00",20,"2018-04-12 06:25:27",0,0,0,7,0,0
1589520,"TBM1996041808","1996-04-17 20:00:00",20,"2018-04-12 06:25:27",0,0,0,829,0,0
1589536,"TBM1996042404","1996-04-23 20:00:00",160,"2018-04-12 06:25:27",0,42,0,0,0,0
1589577,"TBM1996051505","1996-05-14 20:00:00",160,"2018-04-12 06:25:27",0,3,0,0,0,0
1589641,"TBM1996061304","1996-06-12 20:00:00",160,"2018-04-12 06:25:29",0,8,0,0,0,0
1589821,"TBM1996011804","1996-01-17 19:00:00",20,"2018-04-12 06:25:15",0,0,0,2,0,0
1589827,"TBM1996011809","1996-01-17 19:00:00",300,"2018-04-12 06:25:15",0,0,0,1,0,0
1590841,"TBM1996011802","1996-01-17 19:00:00",20,"2018-04-12 06:25:16",0,0,0,19,0,0
1591005,"TBM1996041703","1996-04-16 20:00:00",300,"2018-04-12 06:25:27",0,0,0,5,0,0
1591757,"TBM1996022101","1996-02-20 19:00:00",20,"2018-04-12 06:25:26",0,0,0,116,0,0
1591803,"TBM1996032204","1996-03-21 19:00:00",20,"2018-04-12 06:25:26",0,0,0,180,0,0
1591828,"TBM1996041702","1996-04-16 20:00:00",20,"2018-04-12 06:25:26",0,0,0,4,0,0
1591829,"TBM1996041709","1996-04-16 20:00:00",20,"2018-04-12 06:25:26",0,0,0,9,0,0
1591878,"TBM1996051416","1996-05-13 20:00:00",20,"2018-04-12 06:25:26",0,0,0,3,0,0
1591883,"TBM1996051508","1996-05-14 20:00:00",160,"2018-04-12 06:25:26",0,2,0,0,0,0
1591894,"TBM1996051704","1996-05-16 20:00:00",160,"2018-04-12 06:25:28",0,1,0,0,0,0
1595401,"TBM1996011801","1996-01-17 19:00:00",20,"2018-04-12 06:25:15",0,0,0,0,1,0
1595405,"TBM1996011812","1996-01-17 19:00:00",20,"2018-04-12 06:25:15",0,0,0,2,0,0
1595406,"TBM1996011812","1996-01-17 19:00:00",20,"2018-04-12 06:25:15",0,0,0,0,3,0
1595569,"TBM1996041708","1996-04-16 20:00:00",20,"2018-04-12 06:25:25",0,0,0,28,0,0
1596348,"TBM1996061402","1996-06-13 20:00:00",160,"2018-04-12 06:25:28",0,0,0,22,0,0
1596463,"TBM1996051704","1996-05-16 20:00:00",160,"2018-04-12 06:25:26",0,0,0,2,0,0
1597305,"TBM1996072207","1996-07-21 20:00:00",20,"2018-04-12 06:26:13",0,0,0,3,0,0
1597307,"TBM1996072208","1996-07-21 20:00:00",300,"2018-04-12 06:26:13",0,0,0,1,0,0
1597412,"TBM1996091104","1996-09-10 20:00:00",160,"2018-04-12 06:26:13",0,0,0,0,7,0
1597730,"TBM1996061910","1996-06-18 20:00:00",20,"2018-04-12 06:25:29",0,0,0,29,0,0
1598673,"TBM1996072201","1996-07-21 20:00:00",300,"2018-04-12 06:26:18",0,0,0,0,0,24
1598681,"TBM1996072207","1996-07-21 20:00:00",20,"2018-04-12 06:26:18",0,0,0,0,0,3
1599198,"TBM2003111304","2003-11-11 19:00:00",160,"2018-04-12 06:21:16",0,63,0,0,0,0
1599200,"TBM2003111305","2003-11-11 19:00:00",160,"2018-04-12 06:21:16",0,0,0,4,0,0
1599218,"TBM2003111708","2003-11-18 19:00:00",20,"2018-04-12 06:21:16",0,0,0,0,1,0
1600536,"TBM1996071110","1996-07-10 20:00:00",160,"2018-04-12 06:25:29",0,3,0,0,0,0
1600655,"TBM1996081405","1996-08-13 20:00:00",20,"2018-04-12 06:26:15",0,0,0,4,0,0
1602749,"TBM2003101703","2003-10-09 20:00:00",20,"2018-04-12 06:21:20",0,0,0,0,0,1
1602885,"TBM2003111710","2003-11-20 19:00:00",20,"2018-04-12 06:21:29",0,0,0,0,23,0
1603174,"TBM2003120202","2003-11-30 19:00:00",160,"2018-04-12 06:21:30",0,0,0,0,2,0
1603175,"TBM2003120203","2003-11-30 19:00:00",160,"2018-04-12 06:21:30",0,0,0,0,1,0
1603177,"TBM2003120205","2003-11-30 19:00:00",20,"2018-04-12 06:21:30",0,0,0,0,10,0
1603191,"TBM2003120609","2003-12-01 19:00:00",300,"2018-04-12 06:21:30",0,0,0,0,0,1
1603436,"TBM1996072209","1996-07-21 20:00:00",300,"2018-04-12 06:26:18",0,0,0,0,0,1
1603876,"TBM1996062013","1996-06-19 20:00:00",300,"2018-04-12 06:26:04",0,0,0,0,0,3
1604488,"TBM1996091708","1996-09-16 20:00:00",22,"2018-04-12 06:26:16",0,0,0,1,0,0
1606240,"TBM1996090602","1996-09-05 20:00:00",160,"2018-04-12 06:26:11",0,0,0,3,0,0
1607063,"TBM1996091701","1996-09-16 20:00:00",300,"2018-04-12 06:26:18",0,0,0,0,0,72
1619947,"TBM1996101008","1996-10-09 20:00:00",160,"2018-04-12 06:26:18",0,12,0,0,0,0
1619999,"TBM1996101710","1996-10-16 20:00:00",20,"2018-04-12 06:28:17",0,0,0,0,1,0
1620530,"TBM1996110402","1996-11-03 19:00:00",160,"2018-04-12 06:28:24",0,0,0,0,6,0
1620595,"TBM1996112022","1996-11-19 19:00:00",20,"2018-04-12 06:28:24",0,0,0,1,0,0
1620863,"TBM1996101108","1996-10-10 20:00:00",160,"2018-04-12 06:26:11",0,0,0,0,0,2
1621622,"TBM1996112028","1996-11-19 19:00:00",20,"2018-04-12 06:28:22",0,0,0,0,1,0
1621652,"TBM1996121110","1996-12-10 19:00:00",20,"2018-04-12 06:28:22",0,0,0,0,2,0
