OBJECTID,Reference,Sampling_Date,Latitude,Longitude,Gear,ExDate,Bluefish,Common Snook,Mullets,Pinfish,Red Drum,Sand Seatrout
1550020,TBM1996032006,1996-03-20T00:00:00Z,27.9105,-82.620167,300,2018-04-12T10:27:38Z,0,0,0,0,0,1
1550749,TBM1996032004,1996-03-20T00:00:00Z,27.855333,-82.5545,22,2018-04-12T10:25:23Z,0,0,0,54,0,0
1550750,TBM1996032004,1996-03-20T00:00:00Z,27.855333,-82.5545,22,2018-04-12T10:25:23Z,0,0,0,0,1,0
1550762,TBM1996032207,1996-03-22T00:00:00Z,27.926667,-82.533167,20,2018-04-12T10:25:23Z,0,0,0,80,0,0
1550828,TBM1996042601,1996-04-26T00:00:00Z,27.982667,-82.6925,160,2018-04-12T10:25:23Z,0,0,0,0,4,0
1550838,TBM1996051312,1996-05-13T00:00:00Z,27.861,-82.592667,300,2018-04-12T10:25:23Z,0,0,0,0,0,1
1550842,TBM1996051407,1996-05-14T00:00:00Z,27.915333,-82.605167,300,2018-04-12T10:25:23Z,0,0,0,0,0,5
1551131,TBM1996051415,1996-05-14T00:00:00Z,27.936333,-82.676167,300,2018-04-12T10:27:38Z,0,0,0,0,0,66
1551311,TBM1996032209,1996-03-22T00:00:00Z,27.970167,-82.640833,300,2018-04-12T10:25:20Z,0,0,0,1,0,0
1551335,TBM1996041807,1996-04-18T00:00:00Z,27.863167,-82.544333,22,2018-04-12T10:25:24Z,0,0,0,1,0,0
1551363,TBM1996042602,1996-04-26T00:00:00Z,27.955667,-82.719833,160,2018-04-12T10:25:24Z,0,0,0,0,2,0
1555103,TBM1996022010,1996-02-20T00:00:00Z,27.945833,-82.724167,22,2018-04-12T10:25:29Z,0,0,0,50,0,0
1555259,TBM1996022104,1996-02-21T00:00:00Z,27.870167,-82.540833,20,2018-04-12T10:25:31Z,0,0,0,29,0,0
1556039,TBM1996051405,1996-05-14T00:00:00Z,27.962167,-82.597833,300,2018-04-12T10:25:30Z,0,0,0,0,0,74
1556144,TBM1996061304,1996-06-13T00:00:00Z,27.872833,-82.609833,160,2018-04-12T10:25:30Z,0,0,0,12,0,0
1556177,TBM1996042602,1996-04-26T00:00:00Z,27.955667,-82.719833,160,2018-04-12T10:25:31Z,0,1,0,0,0,0
1556178,TBM1996042603,1996-04-26T00:00:00Z,27.909667,-82.643333,160,2018-04-12T10:25:31Z,0,0,0,0,10,0
1556196,TBM1996051415,1996-05-14T00:00:00Z,27.936333,-82.676167,300,2018-04-12T10:25:31Z,0,0,0,7,0,0
1572931,TBM1996080603,1996-08-06T00:00:00Z,27.910167,-82.632667,160,2018-04-12T10:25:36Z,0,0,0,46,0,0
1572932,TBM1996080604,1996-08-06T00:00:00Z,27.906167,-82.638167,160,2018-04-12T10:25:36Z,0,0,0,163,0,0
1573028,TBM1996061402,1996-06-14T00:00:00Z,27.982333,-82.692667,160,2018-04-12T10:25:27Z,0,1,0,0,0,0
1573079,TBM1996062104,1996-06-21T00:00:00Z,27.966,-82.575333,20,2018-04-12T10:26:15Z,0,0,0,54,0,0
1573232,TBM1996062001,1996-06-20T00:00:00Z,27.969667,-82.616,22,2018-04-12T10:25:31Z,0,0,0,4,0,0
1574017,TBM1996071110,1996-07-11T00:00:00Z,27.984833,-82.611,160,2018-04-12T10:26:11Z,0,0,0,137,0,0
1574153,TBM1996081408,1996-08-14T00:00:00Z,27.951833,-82.712167,300,2018-04-12T10:26:11Z,0,0,0,0,0,22
1574634,TBM1996081515,1996-08-15T00:00:00Z,27.915833,-82.6825,22,2018-04-12T10:26:18Z,0,0,0,5,0,0
1574718,TBM1996091709,1996-09-17T00:00:00Z,28.008,-82.671167,300,2018-04-12T10:26:18Z,0,0,0,0,0,7
1576651,TBM1996022007,1996-02-20T00:00:00Z,28.003333,-82.666167,20,2018-04-12T10:25:24Z,0,0,0,2,0,0
1576652,TBM1996022010,1996-02-20T00:00:00Z,27.945833,-82.724167,22,2018-04-12T10:25:24Z,0,0,0,0,1,0
1576653,TBM1996022014,1996-02-20T00:00:00Z,27.945333,-82.641333,300,2018-04-12T10:25:24Z,0,0,0,5,0,0
1577278,TBM1996061301,1996-06-13T00:00:00Z,27.874667,-82.602167,160,2018-04-12T10:25:26Z,0,0,0,11,0,0
1581402,TBM2003101710,2003-10-10T00:00:00Z,27.922567,-82.687733,300,2018-04-12T10:22:28Z,0,0,0,0,0,15
1581494,TBM2003111010,2003-11-07T00:00:00Z,27.923017,-82.68765,300,2018-04-12T10:22:28Z,0,0,0,0,0,2
1581495,TBM2003111013,2003-11-07T00:00:00Z,27.942417,-82.712067,300,2018-04-12T10:22:28Z,0,0,0,0,0,64
1581503,TBM2003111305,2003-11-12T00:00:00Z,27.865383,-82.59875,160,2018-04-12T10:22:28Z,0,3,0,0,0,0
1581805,TBM2003120204,2003-12-01T00:00:00Z,27.91975,-82.688,160,2018-04-12T10:22:28Z,0,0,0,0,1,0
1581822,TBM2003120611,2003-12-02T00:00:00Z,27.9307,-82.683933,300,2018-04-12T10:22:28Z,0,0,0,0,0,4
1582283,TBM2003111713,2003-11-21T00:00:00Z,27.94905,-82.54825,300,2018-04-12T10:21:14Z,0,0,0,0,0,5
1584465,TBM1996061917,1996-06-19T00:00:00Z,27.852333,-82.595667,20,2018-04-12T10:26:04Z,0,0,0,19,0,0
1584504,TBM1996071105,1996-07-11T00:00:00Z,27.967333,-82.575667,160,2018-04-12T10:26:04Z,0,0,0,1,0,0
1584803,TBM1996011905,1996-01-19T00:00:00Z,27.991667,-82.684167,20,2018-04-12T10:25:26Z,0,0,0,0,1,0
1585031,TBM1996081407,1996-08-14T00:00:00Z,27.922,-82.624167,300,2018-04-12T10:26:09Z,0,0,0,0,0,51
1585132,TBM1996091705,1996-09-17T00:00:00Z,27.931333,-82.7025,20,2018-04-12T10:26:11Z,0,0,0,0,1,0
1586261,TBM1996051508,1996-05-15T00:00:00Z,28.004167,-82.655667,160,2018-04-12T10:25:27Z,0,0,0,0,2,0
1588612,TBM1996022008,1996-02-20T00:00:00Z,27.974167,-82.6375,300,2018-04-12T10:25:15Z,0,0,0,0,0,1
1589487,TBM1996032101,1996-03-21T00:00:00Z,28.0185,-82.6815,20,2018-04-12T10:25:27Z,0,0,0,0,1,0
1589488,TBM1996032205,1996-03-22T00:00:00Z,27.946333,-82.5445,20,2018-04-12T10:25:27Z,0,0,0,7,0,0
1589520,TBM1996041808,1996-04-18T00:00:00Z,27.87,-82.537167,20,2018-04-12T10:25:27Z,0,0,0,829,0,0
1589536,TBM1996042404,1996-04-24T00:00:00Z,27.845667,-82.555,160,2018-04-12T10:25:27Z,0,42,0,0,0,0
1589577,TBM1996051505,1996-05-15T00:00:00Z,27.942,-82.545333,160,2018-04-12T10:25:27Z,0,3,0,0,0,0
1589641,TBM1996061304,1996-06-13T00:00:00Z,27.872833,-82.609833,160,2018-04-12T10:25:29Z,0,8,0,0,0,0
1589821,TBM1996011804,1996-01-18T00:00:00Z,27.866,-82.542833,20,2018-04-12T10:25:15Z,0,0,0,2,0,0
1589827,TBM1996011809,1996-01-18T00:00:00Z,27.963167,-82.590833,300,2018-04-12T10:25:15Z,0,0,0,1,0,0
1590841,TBM1996011802,1996-01-18T00:00:00Z,27.8765,-82.535833,20,2018-04-12T10:25:16Z,0,0,0,19,0,0
1591005,TBM1996041703,1996-04-17T00:00:00Z,27.986667,-82.6335,300,2018-04-12T10:25:27Z,0,0,0,5,0,0
1591757,TBM1996022101,1996-02-21T00:00:00Z,27.884167,-82.620833,20,2018-04-12T10:25:26Z,0,0,0,116,0,0
1591803,TBM1996032204,1996-03-22T00:00:00Z,27.958167,-82.571,20,2018-04-12T10:25:26Z,0,0,0,180,0,0
1591828,TBM1996041702,1996-04-17T00:00:00Z,27.976167,-82.689,20,2018-04-12T10:25:26Z,0,0,0,4,0,0
1591829,TBM1996041709,1996-04-17T00:00:00Z,27.944833,-82.544167,20,2018-04-12T10:25:26Z,0,0,0,9,0,0
1591878,TBM1996051416,1996-05-14T00:00:00Z,27.960333,-82.698833,20,2018-04-12T10:25:26Z,0,0,0,3,0,0
1591883,TBM1996051508,1996-05-15T00:00:00Z,28.004167,-82.655667,160,2018-04-12T10:25:26Z,0,2,0,0,0,0
1591894,TBM1996051704,1996-05-17T00:00:00Z,27.8275,-82.591667,160,2018-04-12T10:25:28Z,0,1,0,0,0,0
1595401,TBM1996011801,1996-01-18T00:00:00Z,27.8835,-82.535833,20,2018-04-12T10:25:15Z,0,0,0,0,1,0
