"Reference","Latitude","Longitude"
"TBM1996011812",27.956833,-82.705667
"TBM1996011819",27.989333,-82.619667
"TBM1996011904",27.9925,-82.684167
"TBM1996011908",28.012833,-82.6735
"TBM1996011802",27.8765,-82.535833
"TBM1996011809",27.963167,-82.590833
"TBM1996011814",27.978167,-82.660333
"TBM1996011905",27.991667,-82.684167
"TBM1996011907",28.004667,-82.6645
"TBM1996022005",28.015833,-82.6525
"TBM1996022008",27.974167,-82.6375
"TBM1996022014",27.945333,-82.641333
"TBM1996022016",27.943833,-82.593
"TBM1996022101",27.884167,-82.620833
"TBM1996022103",27.889167,-82.545
"TBM1996022105",27.848667,-82.557667
"TBM1996032006",27.9105,-82.620167
"TBM1996032016",27.8275,-82.593833
"TBM1996032201",28.014167,-82.646167
"TBM1996032203",27.962,-82.569
"TBM1996032204",27.958167,-82.571
"TBM1996032209",27.970167,-82.640833
"TBM1996011713",27.864833,-82.599
"TBM1996011804",27.866,-82.542833
"TBM1996011817",27.993,-82.625
"TBM1996022002",27.991667,-82.6285
"TBM1996022013",27.914167,-82.675833
"TBM1996022102",27.88,-82.6015
"TBM1996032004",27.855333,-82.5545
"TBM1996032101",28.0185,-82.6815
"TBM1996032207",27.926667,-82.533167
"TBM1996032208",27.896,-82.635333
"TBM1996032210",27.976333,-82.688167
"TBM1996041702",27.976167,-82.689
"TBM1996041709",27.944833,-82.544167
"TBM1996041809",27.871333,-82.533167
"TBM1996042601",27.982667,-82.6925
"TBM1996042603",27.909667,-82.643333
"TBM1996051312",27.861,-82.592667
"TBM1996051407",27.915333,-82.605167
"TBM1996051412",27.926667,-82.706667
"TBM1996051502",27.9105,-82.6265
"TBM1996051508",28.004167,-82.655667
"TBM1996041703",27.986667,-82.6335
"TBM1996041808",27.87,-82.537167
"TBM1996041810",27.899167,-82.5605
"TBM1996042602",27.955667,-82.719833
"TBM1996051405",27.962167,-82.597833
"TBM1996051415",27.936333,-82.676167
"TBM1996051416",27.960333,-82.698833
"TBM1996051505",27.942,-82.545333
"TBM1996051704",27.8275,-82.591667
"TBM1996032206",27.934667,-82.548667
"TBM1996041807",27.863167,-82.544333
"TBM1996051404",28.004333,-82.666333
"TBM1996051406",27.961,-82.576167
"TBM1996061301",27.874667,-82.602167
"TBM1996022010",27.945833,-82.724167
"TBM1996022104",27.870167,-82.540833
"TBM1996032205",27.946333,-82.5445
"TBM1996051402",28.028,-82.679333
"TBM1996051408",27.891167,-82.639167
"TBM1996061304",27.872833,-82.609833
"TBM1996061402",27.982333,-82.692667
"TBM1996061901",27.868333,-82.5385
"TBM1996061910",27.83,-82.584833
"TBM1996061915",27.845667,-82.587667
"TBM1996061917",27.852333,-82.595667
"TBM1996062001",27.969667,-82.616
"TBM1996062002",27.972667,-82.631833
"TBM1996062104",27.966,-82.575333
"TBM1996071105",27.967333,-82.575667
"TBM1996071110",27.984833,-82.611
"TBM1996072202",27.978667,-82.600667
"TBM1996072203",27.99,-82.6215
"TBM1996072207",28.0025,-82.655167
"TBM1996072208",27.994833,-82.676167
"TBM1996072301",27.873,-82.61
"TBM1996072302",27.879333,-82.6115
"TBM1996072305",27.896833,-82.5325
"TBM1996080603",27.910167,-82.632667
"TBM1996080604",27.906167,-82.638167
"TBM1996061921",27.926833,-82.532333
"TBM1996061923",27.908,-82.532667
"TBM1996062004",27.978667,-82.688167
"TBM1996062006",27.957833,-82.708167
"TBM1996071108",27.975,-82.583833
"TBM1996072201",27.9725,-82.614333
"TBM1996072204",27.999167,-82.6375
"TBM1996062101",27.9555,-82.719833
"TBM1996062103",27.908,-82.586167
"TBM1996081405",27.981833,-82.606833
"TBM1996081406",27.9535,-82.566167
"TBM1996081407",27.922,-82.624167
"TBM1996081515",27.915833,-82.6825
"TBM1996081517",27.910833,-82.6575
